,id,5w1h
0,1264952,"누가: 영화 '밀수'의 제작진과 배급사
언제: 29일
어디서: 한국
어떻게: 100만 관객 돌파를 기록한 영화 '밀수'의 성공은 재미있는 스토리와 강력한 연출, 그리고 배우들의 연기력으로 인한 평가와 관객들의 입소문으로 인해 일어났음
왜: 100만 관객을 돌파한 영화 '밀수'의 성공은 류승완 감독의 감성적이고 흥미로운 이야기와 전문적인 연기력을 보여준 배우들의 연기, 그리고 마케팅 전략의 효과 등 다양한 요소들이 결합하여 성공한 것으로 판단됨"
1,1916510,"누가: 류승완 감독
언제: 날
어디서: 한국
어떻게: 류승완 감독의 인기, 배우 김혜수와 염정아의 매력적인 연기, 그리고 해양 범죄를 다룬 독특한 스토리가 관객들의 관심을 끌었음
왜: 첫째, 류승완 감독의 강력한 감독력과 전작들의 성공적인 흥행 이력이 관객들의 관심을 끌었음"
2,12003135,"누가: 누구
언제: 알 수 없음
어디서: 장소
어떻게: 육하원칙을 사용하여 일어났어
왜: ""null""이 일어난 이유에 대한 단답형 대답은 제공할 수 없음"
3,752421,"누가: 미국, 한국, 일본
언제: 8월 18일
어디서: 캠프 데이비드
어떻게: 백악관에서 개최됐어
왜: 한미일 정상회의는 한국, 미국, 일본 정상들이 모여 협력과 대화를 강화하고, 지역 안정과 번영을 위한 공동 노력을 추진하기 위해"
4,4037857,"누가: 강예슬
언제: 29일
어디서: 각종 음원사이트
어떻게: 강예슬이 29일 오후 6시에 새 싱글 '목련'을 각종 음원사이트를 통해 발매함
왜: 사랑의 그리움을 표현하기 위해"
5,14135506,"누가: 주체
언제: 해당 질문이 없으므로 답변할 수 없음
어디서: 그 정보가 없어요
어떻게: 육하원칙에 대한 짧은 단답형으로는 ""원인과 결과""
왜: 이유를 더 자세히 설명해주세요"
6,4880715,"누가: 오에스피와 바우와우코리아
언제: 미리 알려드리지 않았으므로, 정확한 날짜를 알 수 없음
어디서: 북미
어떻게: 퍼스카와 유통 협업으로 가능해졌어
왜: 미국 현지 업체인 퍼스카와 유통 협업을 통해 대형 박람회인 슈퍼주에 참가할 수 있었기 때문"
7,5058170,"누가: 신원
언제: 전날 오전
어디서: 포항시 남구 호미곶면 강사리 해안
어떻게: 정확한 사건 경위는 알 수 없지만, 경북 포항시 앞바다에서 신원 불명의 부패한 시신이 발견됨
왜: 파악되지 않은 신원이기 때문에 정확한 사건 원인은 아직 파악되지 않았음"
8,4926252,"누가: 이재명 대표
언제: 2017년
어디서: 서울
어떻게: 이는 현재 검찰이 수사 중인 사안
왜: 백현동 특혜 의혹 사건에 대한 자세한 내용을 알 수 있을까요?"
9,19383,"누가: 사례자 (문장말고 단답!)
언제: 개개인
어디서: 근육의 다량 증가를 위해 단백질을 과다 섭취한 경우에 건강 문제가 발생할 수 있음
어떻게: 신장에 부담을 주고, 신장 결석, 신장 기능 저하, 골음
왜: 단백질 과다 섭취로 인한 건강 문제는 신장 부담, 비타민 및 미네랄의 부족, 소화 장애, 대사 부작용 등이 있음"
10,652632,"누가: 산다라박
언제: 일
어디서: 라디오스타
어떻게: 산다라박의 전 남자친구 언급은 라디오스타 방송 중에 나왔음
왜: 일어난 이유는 산다라박이 라디오스타에 출연하여 투애니원 시절을 회상하면서 전 남자친구에 대해 언급함"
11,6994350,"누가: 이그제큐티브 객실 투숙객
언제: 월말까지 제공됨
어디서: 한국
어떻게: 웨스틴 조선 서울은 한국적 정서를 담은 가을 패키지 로컬 딜라이트를 월일까지 선보인음
왜: 웨스틴 조선 서울은 한국적 정서를 담은 가을 패키지 로컬 딜라이트를 선보이기 위해"
12,6994379,"누가: 자연
언제: 지난 월 말부터 버들마편초가 만개함
어디서: 신안 반월도 꽃단지
어떻게: 봄부터 가을까지 개화 기간이 긴 버들마편초가 월 초 가지치기를 한 후 다시 새순이 올라와서 만개한 것
왜: 봄부터 가을까지 개화 기간이 긴 버들마편초가 퍼플섬의 조건에 맞아 꽃단지에 만개한 것"
13,14135574,"누가: 공군
언제: 서울
어디서: 서울
어떻게: 선발 과정에는 신체검사, 항공지식평가, 항공안전평가, 심리인성검사 등이 포함됨
왜: 국민조종사는 국방력 강화와 항공기 운영 능력 향상을 위해"
14,4044789,#NAME?
15,6994294,#NAME?
16,6994396,#NAME?
17,6994297,#NAME?
