title,who,what,keywords,keywords_bert
돼지 신장 이식 뇌사 정상 기능 스케 인사 이드,미국 바이오 기업인 비비 코어 공급 회사 미국 식품 약국,뇌사 장기기증,"['뇌사', '미국', '코어', '돼지', '이드', '약국', '공급', '장기기증', '비비', '신장', '기업인', '바이오', '회사', '이식', '인사', '기능', '정상', '스케', '식품', '벌금', '백현동', '백화점', '버거', '버스', '발언', '발사체', '발목', '버스킹', '번의', '방글라데시']","[""['뇌사',"", ""'방글라데시']"", ""'발언',"", ""'백현동',"", ""'신장',"", ""'비비',"", ""'장기기증',"", ""'벌금',"", ""'돼지',"", ""'코어',""]"
광주 부전 이면 간다,국가 철도 공단,경전선 전철 구간 광주 순천역 사이 전철 화로 개량,"['전철', '광주', '개량', '사이', '부전', '경전선', '순천역', '철도', '구간', '이면', '국가', '간다', '화로', '공단', '버스', '버스킹', '번의', '버거', '백화점', '백현동', '벌금', '법원', '법률', '배포', '법전', '베이트', '변경', '변신', '병동', '병원']","[""['전철',"", ""'병원']"", ""'간다',"", ""'백현동',"", ""'광주',"", ""'철도',"", ""'화로',"", ""'순천역',"", ""'법전',"", ""'개량',""]"
트럼프 기소 권고 조지아주 대배심 신변 위협,조지아주 풀턴 카운티 검찰,도널드 트럼프 미국 대통령 조지아주 대선 개입 혐의,"['조지아주', '트럼프', '신변', '검찰', '대선', '도널드', '대배심', '개입', '풀턴', '기소', '권고', '위협', '카운티', '혐의', '대통령', '미국', '버거', '버스', '번의', '백화점', '버스킹', '백현동', '백두산', '배포', '히알루론산', '벌금', '배우', '법률', '법원', '법전']","[""['조지아주',"", ""'법전']"", ""'대통령',"", ""'배우',"", '검찰', ""'버거',"", ""'대선',"", ""'권고',"", ""'위협',"", ""'도널드',""]"
농심 전남 완도군 인연 다시마 구매,농심 농심,전남 완도군 다시마 경매 현장,"['농심', '전남', '완도군', '다시마', '인연', '경매', '구매', '현장', '보강', '보건', '배포', '보고', '백두산', '백현동', '보건복지부', '백화점', '버거', '버스', '버스킹', '번의', '병원', '벌금', '법률', '법원', '배우', '법전', '베이트', '변경', '변신', '병동']","[""['농심',"", ""'병동']"", ""'현장',"", ""'보고',"", ""'배우',"", ""'다시마',"", ""'인연',"", ""'백현동',"", ""'전남',"", ""'완도군',""]"
교육 방법 혁신 교수설계 경연 진행 북한,북한 노동당,교육 부문 교육 방법 창조 도입 사업 교육 위원회 교원양성 부문 대학 교수설계 경연 조직 보도 사진 김형직 사범 대학 국내 사용 가능 배포 금지 금지,"['교육', '경연', '교수설계', '부문', '금지', '방법', '대학', '북한', '노동당', '김형직', '교원양성', '창조', '조직', '배포', '국내', '보도', '가능', '사범', '진행', '사업', '도입', '혁신', '사진', '사용', '위원회', '배구', '법률', '방송통신', '방송', '방글라데시']","[""['교육',"", ""'방글라데시']"", ""'대학',"", ""'사진',"", ""'가능',"", ""'금지',"", ""'방법',"", ""'노동당',"", ""'김형직',"", ""'교원양성',""]"
관왕 발롱도르 월드컵 모든 메시 발롱도르 욕심 이적 불행,사무국,신종 코로나 바이러스 팬데믹,"['발롱도르', '관왕', '메시', '불행', '사무국', '욕심', '바이러스', '모든', '팬데믹', '이적', '신종', '월드컵', '코로나', '베이트', '법전', '백현동', '백화점', '버거', '보건복지부', '보건', '버스', '버스킹', '보강', '번의', '병원', '병동', '벌금', '변신', '법률', '법원']","[""['발롱도르',"", ""'법원']"", ""'백현동',"", ""'관왕',"", ""'사무국',"", ""'욕심',"", ""'바이러스',"", ""'법률',"", ""'신종',"", ""'코로나',""]"
에픽 게임 에픽 온라인 서비스 콘솔 크로스 플레이 무료 지원,언리얼엔진 게임 개발자,에픽 온라인 서비스 현재 수백 게임 대규모 사용 사용 중인 게임엔진 게임 개발 지원 모든 스토어 플랫폼 배포,"['게임', '에픽', '온라인', '서비스', '사용', '지원', '개발자', '현재', '크로스', '수백', '플레이', '게임엔진', '언리얼엔진', '대규모', '콘솔', '스토어', '배포', '모든', '중인', '플랫폼', '무료', '개발', '부아', '백두산', '방통위', '방화', '배구', '부회장', '배병준', '배상']","[""'배상']"", ""['게임',"", ""'현재',"", ""'중인',"", ""'지원',"", ""'부회장',"", ""'무료',"", ""'배병준',"", ""'대규모',"", ""'콘솔',""]"
이상민 행안부 장관 지방세 발전 회의,행정안전부,뉴시스 독자 제보 뉴스 가치나 화제 판단 사진 영상 뉴시스 사진 상부 적극 반영,"['뉴시스', '사진', '지방세', '독자', '행정안전부', '반영', '행안부', '이상민', '판단', '상부', '화제', '영상', '가치나', '장관', '제보', '발전', '적극', '회의', '뉴스', '법원', '백현동', '백화점', '버거', '버스', '버스킹', '번의', '벌금', '법률', '발탁', '발목']","[""['뉴시스',"", ""'사진',"", ""'발목']"", ""'영상',"", ""'뉴스',"", ""'장관',"", ""'법원',"", ""'발전',"", '뉴시스', '뉴시스']"
신진서 셰커 응씨배 결승 격돌,중국,신종 코로나바이러스 감염증,"['감염증', '응씨배', '격돌', '신진서', '셰커', '코로나바이러스', '신종', '결승', '중국', '배우', '배지', '배포', '백두산', '배송', '백현동', '배상', '백화점', '히알루론산', '버거', '버스킹', '번의', '벌금', '법률', '법원', '법전', '베이트', '변경', '변신', '병동', '병원']","[""['감염증',"", ""'병원']"", ""'배우',"", ""'번의',"", ""'코로나바이러스',"", ""'배상',"", ""'배지',"", ""'베이트',"", ""'법률',"", ""'병동',""]"
신한은행 아동권리 보장 굿네이버스 청소년 자립 지원 금융 교육,아동권리 보장 굿네이버스,아동 양육 시설 청소년 자립,"['청소년', '자립', '보장', '아동권리', '굿네이버스', '시설', '아동', '양육', '신한은행', '교육', '금융', '지원', '발언', '백두산', '발롱도르', '발령', '발각', '백화점', '버거', '버스', '버스킹', '번의', '벌금', '반영', '법률', '법원', '법전', '베이트', '반복', '변경']","[""'발언',"", ""'변경']"", ""'버스킹',"", ""'발롱도르',"", ""'발령',"", ""'발각',"", ""'신한은행',"", ""'양육',"", ""'반복',"", ""'번의',""]"
